Hypervisor,Type,Guest OS,CPU,Memory,Disk GB,Execution Time s,Total Events,Events/sec,Min Latency ms,Avg Latency ms,Max Latency ms,P95 Latency ms
Proxmox VE,Type-1,Ubuntu 24.04.3 LTS,2 vCPU,2 GB,20 GB,10.0005,17494,1749.16,0.57,0.57,2.43,0.58
VMware Workstation,Type-2,Ubuntu 24.04.x LTS,2 vCPU,2 GB,20 GB,10.0001,14602,1460.03,0.65,0.68,10.14,0.75
